cLO_pT,cLO_phi,cLO_eta,c_pT,c_phi,c_eta,chad_pT,chad_phi,chad_eta,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbar_pT,cbar_phi,cbar_eta,cbarhad_pT,cbarhad_phi,cbarhad_eta,d1_pT,d1_phi,d1_eta,d1bar_pT,d1bar_phi,d1bar_eta,d2_pT,d2_phi,d2_eta,d2bar_pT,d2bar_phi,d2bar_eta,d3_pT,d3_phi,d3_eta,d3bar_pT,d3bar_phi,d3bar_eta,d4_pT,d4_phi,d4_eta,d4bar_pT,d4bar_phi,d4bar_eta,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
1.46424,1.59106,8.0429,1.31436,1.46456,8.16584,1.55921,1.54591,8.80763,1.46424,-1.55053,6.94637,1.46542,-1.47873,6.90815,0.851209,-1.31719,6.84186,1.88625,1.51421,8.46083,0.886838,-2.22965,5.77466,0.331517,-1.77697,8.42333,0.766391,-0.160875,6.50308,0.321057,-1.8156,8.36269,0.0163767,-0.918196,9.00677,0.448755,-0.414673,6.01878,0.35061,0.166297,6.83761,96,1,1.88625,2,0.459629
2.39785,2.58135,7.3366,2.72544,2.48012,7.17783,2.86729,2.45928,7.47498,2.39785,-0.560244,5.16166,2.86927,-1.48281,5.21727,2.74271,-1.17967,5.00556,0.421195,1.79284,8.3602,0.358104,-1.95186,5.93611,2.54955,2.56158,7.15236,2.49869,-1.0795,4.69663,0.263191,2.5121,7.48524,2.28672,2.56727,7.10567,0.514647,-0.809747,4.79571,2.00735,-1.14788,4.65756,173,4,2.63353,6,3.66264
1.13719,-1.26631,-8.38281,1.28672,-0.782395,-8.25664,1.1378,-1.2028,-9.02666,1.13719,1.87528,-5.16218,1.56729,1.37312,-5.11936,1.34273,1.18982,-4.97704,1.60979,-1.19594,-8.32736,0.90576,0.74385,-4.0946,0.472083,1.96218,-8.69207,0.65487,1.82907,-5.36786,0.0685276,2.8761,-9.94749,0.433645,1.83671,-8.06484,0.110683,2.95615,-5.27844,0.615525,1.66594,-5.26193,84,1,1.60979,2,0.79765
3.88604,-1.24766,-3.07507,0.244708,-2.47037,-5.19837,0.937909,-1.19385,-4.3799,3.88604,1.89393,-1.21745,4.30466,2.50251,-1.51713,4.28148,2.48409,-1.56399,0.642245,-0.876455,-4.67141,2.04301,2.10277,-1.69757,0.384176,-1.74274,-2.79212,2.50346,2.79266,-1.32747,0.128357,-0.784575,-3.42227,0.327652,-2.069,-1.97506,0.414491,2.96459,-1.12299,2.09628,2.75882,-1.36106,265,7,3.05174,6,7.30298
1.46743,0.926272,-3.61596,1.10285,-0.00174446,-3.73392,1.18915,1.11888,-4.14256,1.46743,-2.21532,-5.48074,3.25635,-2.28283,-4.70723,2.89582,-2.16718,-4.67138,0.701851,-0.306825,-3.73789,2.04041,-2.56893,-4.38426,1.29048,1.68713,-3.56102,1.29331,-1.50237,-4.72515,0.573288,2.03949,-3.44885,0.77799,1.43,-3.56118,1.08451,-1.55854,-4.77306,0.219139,-1.2208,-4.38257,221,3,1.61778,3,3.52673
1.17622,-1.17492,0.323432,1.84164,-1.02375,-0.0509063,1.35821,-0.994932,0.552465,1.17622,1.96667,-1.36421,1.02823,2.32917,-1.024,1.00094,2.44584,-2.371,1.41457,-1.41117,0.668846,0.88574,2.08108,-1.22613,0.575559,0.463696,-0.388294,0.360453,-2.76864,-3.08503,0.249917,1.1303,0.1358,0.409424,0.0766776,-0.605198,0.420681,-2.73966,-2.75667,0.0612759,0.573218,-3.03215,101,1,1.41457,0,0
1.03084,-2.59263,-8.37026,1.17571,-2.55621,-8.27214,1.49485,-2.87816,-8.58649,1.03084,0.548959,-7.01164,0.809432,0.436321,-7.13301,0.671664,0.0974997,-7.02298,1.2571,-2.65047,-7.73797,0.718935,0.575284,-6.86476,0.391826,2.59516,-9.47921,0.332242,-1.37309,-5.27652,0.431253,2.49631,-9.23279,0.0566066,-1.39733,-9.4461,0.353406,-1.35772,-4.41327,0.0218091,2.02008,-7.40473,72,1,0.21668,2,1.10609
2.95028,-0.308761,-5.74153,2.50115,-0.26485,-5.80695,2.2898,-0.315809,-6.11661,2.95028,2.83283,-5.0215,3.52512,2.75343,-5.05465,3.06715,2.74287,-5.01789,0.925777,0.342913,-6.52155,2.35282,3.08986,-4.94451,1.65759,-0.66471,-5.50796,1.17067,1.99037,-4.73346,0.16946,-1.05726,-5.59021,1.50242,-0.621549,-5.4886,0.227062,1.83192,-5.33273,0.947129,2.0282,-4.50971,199,1,1.50242,6,3.26293
2.4046,-0.201398,-7.48352,2.91936,-0.0995279,-7.29922,2.95194,-0.122197,-7.62122,2.4046,2.94019,-5.22722,2.23909,3.00242,-5.23006,1.34051,2.97932,-5.2743,1.70346,0.401307,-7.59973,1.65518,-3.02557,-4.64091,1.70459,-0.645319,-7.33842,0.519385,0.90417,-5.15725,1.37924,-0.641062,-7.40593,0.325408,-0.663366,-6.98709,0.0695622,-0.13561,-4.92349,0.48786,1.02743,-5.10781,152,2,3.0827,0,0
2.84994,-1.19592,4.22034,2.73106,-1.08213,4.25016,2.28183,-0.941499,4.82848,2.84994,1.94568,3.69103,2.93214,1.67623,3.6492,2.03706,1.4941,3.7326,1.85831,-0.944785,4.2322,0.317275,1.70744,3.87806,0.423575,-0.927084,5.91722,1.72828,1.45523,3.69837,0.20478,-0.490726,6.36748,0.253233,-1.27589,5.01117,1.01417,1.2592,3.71273,0.75967,1.71827,3.61588,111,4,2.56776,3,2.09111
1.81604,-1.27603,3.5998,3.2169,-0.784729,3.53682,2.06631,-0.789504,3.97831,1.81604,1.86556,3.96647,1.48929,1.0458,3.57789,0.850671,0.460695,4.92954,0.314726,-0.657293,4.14373,0.73993,0.735994,3.71306,1.75482,-0.813149,3.94361,0.24427,-0.506728,5.87943,1.23131,-0.718847,4.02507,0.541542,-1.02892,3.68715,0.130007,0.739555,4.72817,0.237315,-1.05268,5.72404,150,3,2.08758,8,1.58161
0.957856,3.07654,-1.2504,1.75023,2.72802,-1.35515,1.25904,3.1063,-1.47888,0.957856,-0.0650558,-3.56135,1.44342,-0.711091,-2.93727,1.22414,-0.301922,-2.90107,0.215893,0.00955989,-2.63219,1.56342,-0.611667,-2.20916,1.47475,3.11286,-0.703797,0.545217,1.77617,-2.70736,0.754168,-2.90142,-0.618815,0.774067,2.85103,-0.742177,0.203831,1.05499,-2.0761,0.414586,2.10678,-2.76189,108,0,0,2,0.26137
2.43302,1.4482,7.86327,2.33232,1.54034,7.86062,2.0893,1.45387,8.12264,2.43302,-1.69339,6.29837,2.78853,-1.60564,6.36131,2.84386,-1.68565,6.3391,1.20365,1.62238,8.49748,0.966628,-2.34624,6.14799,0.924988,1.23387,7.11669,2.16347,-1.40795,6.28298,0.354428,1.70582,7.34106,0.630251,0.975335,6.84729,0.679227,-1.2891,6.51525,1.49121,-1.46198,6.15086,70,2,1.34188,3,3.13706
1.20044,1.05966,2.09637,0.717098,1.9646,2.32603,0.886017,2.48169,1.71842,1.20044,-2.08193,4.95251,1.68629,-2.4558,4.66395,1.41741,-2.32899,5.41007,1.36019,2.85245,0.974527,1.7626,-2.45532,5.01155,0.623387,0.25183,1.11192,0.398712,0.221836,4.878,0.628993,0.174589,0.882802,0.0486791,1.89935,2.19029,0.382467,0.678247,4.37965,0.177433,-1.03146,4.81366,77,0,0,1,1.7626
2.47271,-0.412618,3.1064,2.19467,0.134717,3.19135,2.84156,0.130574,3.45342,2.47271,2.72897,4.0011,3.72804,2.35216,3.73887,2.18257,2.59479,4.04083,1.41532,0.67874,3.15239,0.952578,2.44674,4.60093,1.79239,-0.293516,3.45488,1.24835,2.70759,3.15578,1.54795,-0.280315,3.35256,0.245434,-0.376867,3.93092,0.778061,2.47783,3.21505,0.521745,3.05411,2.94599,178,9,4.33182,5,1.70076
0.501594,-2.95914,-5.50326,0.333864,-0.577629,-5.89372,0.267225,-0.211408,-7.28147,0.501594,0.182457,-3.32788,1.02162,-0.549414,-2.82819,0.829363,-0.6315,-2.43885,0.737474,-2.44434,-5.39745,1.30614,-0.824875,-1.39097,0.926066,0.467657,-5.49491,0.517392,2.00358,-2.17772,0.835466,0.432384,-5.5029,0.0957647,0.78039,-5.36254,0.50757,1.83319,-1.73784,0.0877607,-2.90575,-2.97324,89,2,0.826328,1,0.415264
