cLO_pT,cLO_phi,cLO_eta,cLO_rap,c_pT,c_phi,c_eta,c_rap,chad_pT,chad_phi,chad_eta,chad_rap,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbarLO_rap,cbar_pT,cbar_phi,cbar_eta,cbar_rap,cbarhad_pT,cbarhad_phi,cbarhad_eta,cbarhad_rap,d1_pT,d1_phi,d1_eta,d1_rap,d1bar_pT,d1bar_phi,d1bar_eta,d1bar_rap,d2_pT,d2_phi,d2_eta,d2_rap,d2bar_pT,d2bar_phi,d2bar_eta,d2bar_rap,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
5.38243,-1.41615,1.82585,1.79041,4.23615,-0.751272,1.92643,1.86996,2.82317,-0.537123,1.98109,1.80809,5.38243,1.72544,3.2223,3.18502,8.7831,1.28042,3.18923,3.1749,4.86248,1.30472,3.31174,3.24332,0.727712,0.472862,2.23448,2.21683,4.52709,1.2417,3.27052,3.27005,0.44711,1.9963,3.4599,3.06254,2.51286,-0.784887,1.70451,1.6868,393,8,6.15914,10,9.2872
2.21398,-3.08101,-0.560223,-0.470851,2.61034,-3.0006,-0.664537,-0.585504,1.70917,-3.02648,-0.528694,-0.365877,2.21398,0.0605813,-0.600352,-0.505602,1.7411,-0.0505166,-0.193014,-0.146614,1.09888,-0.0857428,-0.797559,-0.43533,1.75564,2.92603,-0.433266,-0.431983,0.681601,1.10094,-1.16703,-1.15018,1.05392,-0.728745,0.0155354,0.0140686,0.5721,-1.54082,-0.278898,-0.2123,151,3,0.387144,5,1.13026
2.90137,0.553467,1.83057,1.71876,2.80434,0.325531,1.73266,1.61541,1.86086,0.39722,1.76876,1.44838,2.90137,-2.58813,3.72044,3.60216,2.27564,-2.20993,3.98171,3.80146,1.90146,-2.04886,4.43441,4.0976,1.34062,1.05536,1.62005,1.61507,0.109378,-1.05047,6.55869,6.07553,1.8445,-2.09873,3.80864,3.77409,1.14577,-0.40035,1.34191,1.26844,124,7,3.08459,2,2.33131
0.800319,0.568359,-0.361959,-0.173263,0.768229,-0.707668,-0.336483,-0.155666,0.880915,-0.282622,-1.23344,-0.628706,0.800319,-2.57323,4.03715,3.28478,1.65272,2.84072,3.32616,3.02678,0.753648,2.6468,4.2063,3.226,0.778216,-1.3318,-1.27516,-1.26165,1.16552,2.28492,3.50401,3.49691,0.532368,-1.38163,3.10455,2.79599,0.83573,0.657022,-0.119131,-0.102634,79,0,0,1,0.301734
2.51473,2.55213,5.39653,5.24435,2.64353,2.91073,5.19526,5.05571,1.81506,3.03617,5.24015,4.87989,2.51473,-0.589461,4.28613,4.13401,2.36834,-0.895072,4.15223,3.98369,3.13981,-1.07138,3.99943,3.84847,1.12281,2.85358,5.55776,5.5501,0.183406,2.68443,3.23644,3.0089,3.29139,-1.03926,3.92476,3.91364,0.739568,-2.96773,4.24181,4.05764,314,5,3.70875,12,7.66099
4.166,-1.11589,5.69018,5.62923,4.12736,-0.799874,5.82535,5.76332,3.36016,-0.876327,6.0645,5.93024,4.166,2.0257,5.76959,5.70864,5.76724,1.73469,5.11041,5.07768,4.03627,1.7658,5.11568,5.01895,1.46828,-1.43303,6.16234,6.15784,2.6515,1.61662,5.28136,5.27998,1.46809,2.03756,4.63411,4.58056,2.25147,-0.524531,5.80735,5.78387,62,4,4.81734,5,5.29932
5.62503,0.702757,-0.949402,-0.9242,5.171,0.814791,-0.870491,-0.84244,3.05877,0.878245,-1.01418,-0.89699,5.62503,-2.43884,-0.198626,-0.192002,6.2065,-2.17456,0.435649,0.424148,8.79046,-2.20292,0.452357,0.443112,2.35745,0.603041,-1.05657,-1.0552,5.0073,-2.03371,0.436682,0.436522,3.94583,-2.4183,0.454709,0.451413,1.01712,1.55959,-0.627668,-0.570953,426,16,7.30993,13,13.8066
2.46085,1.50125,-2.60846,-2.45249,2.87855,1.36687,-2.52727,-2.40888,1.91948,1.16127,-2.53742,-2.21088,2.46085,-1.64035,-3.79942,-3.64164,1.60811,-1.16228,-4.24636,-3.93355,0.69637,-0.983173,-5.43158,-4.38139,0.659676,-0.0263715,-1.66639,-1.64604,1.1066,-1.65405,-4.4843,-4.47642,0.708738,0.830436,-4.45651,-4.2588,1.78124,1.5119,-2.46285,-2.4264,68,2,2.08106,0,0
1.73228,0.296475,-3.08871,-2.81051,1.02579,0.109259,-3.91621,-3.34522,1.67765,0.672734,-4.268,-3.86597,1.73228,-2.84512,-3.04049,-2.76244,2.38857,-2.73143,-2.96135,-2.79618,1.55172,-2.75712,-2.69498,-2.25459,1.67312,0.442355,-3.60509,-3.60163,0.227375,1.50676,-0.900759,-0.790752,1.66299,-2.6336,-2.60598,-2.56422,0.385146,2.11666,-5.01847,-4.53259,100,2,1.02621,3,2.15975
0.917795,2.70414,2.52151,1.88797,0.765098,2.00697,2.64146,1.8715,0.320582,2.30992,4.43268,2.66206,0.917795,-0.437449,0.355731,0.188485,2.0598,-0.24939,0.669534,0.553833,0.706787,-0.633643,-0.0895272,-0.0317657,0.471656,0.656908,1.55237,1.51414,0.814309,0.679424,-0.425825,-0.420043,0.932336,-1.63938,0.310298,0.275163,0.591664,-3.05512,3.73815,3.47434,86,1,0.180621,1,0.301783
2.61287,-1.8476,-0.0268378,-0.0232758,2.6839,-2.14895,0.00820057,0.00715845,1.73216,-1.95714,0.328353,0.225582,2.61287,1.29399,-1.88921,-1.75407,2.63186,1.50286,-1.85558,-1.7226,1.7708,1.52195,-2.22916,-1.86851,1.33767,-2.24559,0.722176,0.718835,1.56004,1.08636,-1.64612,-1.64242,0.748551,2.59646,-2.43421,-2.25694,0.589136,-1.25492,-0.735152,-0.582169,71,2,1.42702,4,1.20877
1.38006,-0.87974,1.29977,0.983317,2.18588,-1.41989,1.42394,1.25589,1.48339,-1.40925,1.92479,1.48225,1.38006,2.26185,0.570005,0.396689,1.40223,2.60831,0.809215,0.581584,0.799658,2.80393,0.0804246,0.0317242,1.43896,-0.93919,1.26482,1.26084,0.783921,2.88503,-0.83936,-0.828709,0.0660969,1.51389,3.19133,1.25479,0.6819,-2.68161,2.05921,1.85678,93,0,0,1,0.14743
10.2507,3.01108,-1.33232,-1.32311,7.2071,2.98739,-1.13338,-1.11622,5.73374,2.90581,-1.22106,-1.17914,10.2507,-0.13051,-0.21432,-0.212095,11.5082,-0.0509394,-0.227236,-0.225362,9.01501,-0.0806403,-0.233074,-0.228325,0.634103,2.33611,-1.82028,-1.79786,2.62745,-0.331919,-0.0592738,-0.0591904,6.50297,0.0199905,-0.297663,-0.296833,5.21102,2.97149,-1.10107,-1.0975,302,7,9.87274,10,12.8717
